Product Name,Barcode,Common Name,Brands,Categories,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Nutrient Levels,Ingredients,Additives,Ingredient Analysis
Redbull - Red Bull - 1,90162602.0,Energy Drink,Red Bull,"Beverages, Carbonated drinks, Sodas, Energy drinks, Sweetened beverages, Carbonated Sodas",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Sugars in high quantity (11%); Salt in moderate quantity (0.198%),"carbonated water, sugar, glucose, citric acid, taurine, natural flavors, artificial flavors, sodium bicarbonate, magnesium carbonate, artificial colors, caffeine, niacinamide, pyridoxine hci, calcium pantothenate, vitamin b",['e330 - citric acid; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate'],Palm oil free; Vegan status unknown; Vegetarian status unknown
Tomato Ketchup - Heinz - 400 ml / 460 g,87157246.0,Unknown,Heinz,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup",Nutri-Score D,Poor nutritional quality,NOVA 3,Processed foods,Eco-Score B,Fat in low quantity (0.1%); Saturated fat in low quantity (0.1%); Sugars in high quantity (22.8%); Salt in high quantity (1.8%),"tomato  g per  g, vinegar, sugar, salt, extracts of spices and herbs contains celery , spice",,Palm oil free; Vegan; Vegetarian
Diet coke - The Coca-Cola Company - 500 ml,54491496.0,Unknown,"The Coca-Cola Company, Coca-Cola, Diet Coke, Tiffin Sandwiches","Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Unsweetened beverages, Colas, Diet sodas, Diet cola soft drink, Sweetened beverages",Nutri-Score B,Good nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0%),"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate to protect taste, natural flavors, citric acid, caffeine, contains phenylalaline water gazeifie, caramel colour ed, sweeteners  aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid",['e150c - ammonia caramel; e150d - sulphite ammonia caramel; e212 - potassium benzoate; e330 - citric acid; e338 - phosphoric acid; e950 - acesulfame k; e951 - aspartame'],Palm oil free; Vegan status unknown; Vegetarian status unknown
Corn Flakes - Kellogg's - 1.2 KG,8901499010216.0,Unknown,Kellogg's,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Extruded cereals, Extruded flakes, Corn flakes",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 3,Processed foods,Eco-Score D,Not Available,"corn grits , sugar, cereal extract, lodized salt, vitamins, minerals and antioxidant ins  contains gluten may contain traces of treenut",['e320 - butylated hydroxyanisole (bha)'],Palm oil free; Vegan status unknown; Vegetarian status unknown
Dal makhani - Kohinoor - 300g,8901047816208.0,Unknown,Kohinoor,"Condiments, Meals, Sauces, Microwave meals, Curry sauces, Dal-makhani, Pre-cooked-dal-microwave-pouch",Nutri-Score B,Good nutritional quality,NOVA 3,Processed foods,Eco-Score B,Fat in moderate quantity (3.2%); Saturated fat in low quantity (0.5%); Sugars in low quantity (0.2%); Salt in moderate quantity (0.78%),"water, black gram lentils , tomato , red kidney beans , sunflower oil, garlic, salt, ginger , cumin powder, garam masala, red chilli powder, fenugreek leaves, cinnamon, cardamom, bay leaf, nutmeg powder, mace powder",,Palm oil free; Vegan status unknown; Vegetarian status unknown
Lay's American Style Cream & Onion Flavour - 11g(8.6 +2.4 extra),8901491502030.0,Unknown,Lay's,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in high quantity (33.1%); Saturated fat in high quantity (14.9%); Sugars in low quantity (3.4%); Salt in high quantity (1.61%),"potato, edible vegetable oil palmolein, sunflower oil, seasoning sugar, iodised salt, milk solids, spices  condiments, maltodextrin, flavour natural and nature identical flavouring substances, cheese powder, hydrolysed vegetable protein, flavour enhancers , , edible vegetable oil palm, coconut, anticaking agent contains onion allergen advice contains soy, milk may contain sulphite as flavouring agent ,contsins onion",['e551 - silicon dioxide; e627 - disodium guanylate; e631 - disodium inosinate'],Palm oil; Non-vegan; Vegetarian
Maaza Original 600ml - 24,8901764092206.0,Unknown,Maaza,"Beverages and beverages preparations, Beverages, Sweetened beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (14.9%); Salt in low quantity (0.0548%),"water, mango pulp , sugar, acidity regulator , antioxidant and preservative  contains permitted synthetic food colour  and added mango flavours natural, natureidentical and artificial flavouring substances",['e110 - sunset yellow fcf; e202 - potassium sorbate; e300 - ascorbic acid; e330 - citric acid'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Thumbs Up 750ml - Coca Cola Company - 24,8901764042270.0,Unknown,Coca Cola Company,"Beverages, Carbonated drinks, Sodas, Sweetened beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9%); Salt in low quantity (0%),"carbonated water, sugar, acidity regulator , caffeine  mg g, colour  flavours natural, natureidentical  artificial cola flavouring substances contains caffeine",['e100 - curcumin; e338 - phosphoric acid'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Parle-G gold 75g - 50 g,8901719125478.0,Unknown,Parle,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Dry biscuits, Plain biscuit, Gluco biscuit",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in moderate quantity (13%); Saturated fat in high quantity (6%); Sugars in high quantity (25.5%); Salt in moderate quantity (0.74%),"refined wheat flour maida , sugar, refined palm oil, invert sugar syrup sugar, citric acid, iodised salt, raising agents  ii,  ii, milk solids, flour treatment agent  ii and emulsifier of vegetable origin e contains added flavour artificial flavouring substances vanilla dglucose, levulose contains wheat, milk",['e1101 - protease; e330 - citric acid; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil; Non-vegan; Vegetarian
Mixed Fruit Jam - Kissan - 90g,8901030922787.0,Unknown,Kissan,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Mixed fruit jams",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in low quantity (0.1%); Saturated fat in low quantity (0%); Sugars in high quantity (68.1%); Salt in low quantity (0.128%),"sugar, mixed fruit pulp blend papaya pulp, pear pulp, apple juice, banana pulp, pineapple juice, orange juice, mango pulp, grape juice, acidity regulatore, thickenere, iodised salt, vitamins  mineral, preservativee, natural flavouring substances, food coloure",['e122 - azorubine; e202 - potassium sorbate; e330 - citric acid; e440 - pectins'],Palm oil free; Vegan status unknown; Vegetarian
Lays Classics Salted 20rs - Lay's - 50g,8901491101837.0,Unknown,Lay's,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps",Nutri-Score D,Poor nutritional quality,NOVA 3,Processed foods,Eco-Score C,Fat in high quantity (35.5%); Saturated fat in high quantity (14%); Sugars in low quantity (2.6%); Salt in moderate quantity (0.51%),"potato, edible vegetable oil palmolein oil, rice bran oil, salt",,Palm oil; Vegan; Vegetarian
Sprite - coca cola - 5,8901764032271.0,Unknown,coca cola,"Beverages, Carbonated drinks, Sodas, Sweetened beverages, Sprite",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9.8%); Salt in low quantity (0.035%),"carbonated water, sugar, acidity regulators , i, preservative, sweetener , flavours natural flavoring substances",['e211 - sodium benzoate; e330 - citric acid; e331 - sodium citrates; e960 - steviol glycosides'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
"Manner - Chocolate Cream Filled Wafers, 2.5oz (72g)",73935942400.0,Unknown,Manner,Unknown,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Not Available,test,,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Sprite - Coca Cola - 750 ml,3948764032271.0,Unknown,Coca Cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Sweetened beverages",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Not Available,"carbonated water, sugar, acidity regulators , , preservative , sweetener , flavours natural flavoring substances",['e211 - sodium benzoate; e330 - citric acid; e331 - sodium citrates; e960 - steviol glycosides'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Passendale classic - 190g (5*38g),5410942104158.0,Unknown,"Passendale, Savencia","Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Belgian cheeses, Abbaye cheeses",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in high quantity (29%); Saturated fat in high quantity (20%); Sugars in low quantity (0%); Salt in moderate quantity (1.5%),"pasteurized cows milk, salt, lactic acid ferments, rennet, natural dye annatto",['e160b - annatto'],Palm oil content unknown; Non-vegan; Vegetarian status unknown
Tata salt - 1kg,8904043901015.0,table salt,Tata,"Condiments, Salts, Table salts, Groceries",Nutri-Score not-applicable,Not-applicable for the category,NOVA 2,Processed culinary ingredients,Eco-Score A,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in high quantity (92%),"edible common salt, potassium jodate and anticaking agent ins",['e536 - potassium ferrocyanide'],Palm oil content unknown; Vegan status unknown; Vegetarian
Oats - Quaker - 1kg,8901491103800.0,Unknown,Quaker,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats",Nutri-Score A,Very good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Fat in moderate quantity (9.5%); Saturated fat in moderate quantity (1.9%); Sugars in low quantity (1.8%); Salt in low quantity (0.0095%),rolled oats flakes,,Palm oil free; Vegan; Vegetarian
Sting - 1,8902080000227.0,Unknown,Sting,"Beverages, Energy drinks, Energy drink with sugar",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (6.8%); Salt in low quantity (0.103%),"carbonated water, sugar, acidity regulators , , sequesterants , ,taurine, caffeine , preservatives , , sweeteners , , inositol, vitamins premix contains permitted synthetic food colour  and added flavour natural and nature identical flavouring substances",['e129 - allura red; e202 - potassium sorbate; e211 - sodium benzoate; e330 - citric acid; e331 - sodium citrates; e385 - calcium disodium ethylenediaminetetraacetate; e452 - polyphosphates; e950 - acesulfame k; e955 - sucralose'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Sugar cookie - CMB - 300g,9501101530003.0,Desiccated sustenance bar,"CMB, Combine, Beagley Coppermsn",Sustenance bar,Nutri-Score E,Bad nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in high quantity (26.8%); Saturated fat in high quantity (16.1%); Sugars in high quantity (28.6%); Salt in moderate quantity (0.42%),water,,Palm oil free; Vegan; Vegetarian
Good Day - Cashew Cookies - Britannia - India,8901063093522.0,Good day biscuit,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Cooking helpers, Dessert mixes, Pastry helpers, Variety packs, Baking Mixes, Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"ingredients refined wheat flour maida, edible vegetable oil palm, sugar, cashew nuts , invert syrup, milk solids, butter , raising agents th ised salt and emulsifiers ,, contains added flavours nature identical and artificial milk and vanilla flavouring substances numbers in brackets as per laternational numbering system contains wheat, nuts, milk and soya",['e322 - lecithins; e471 - mono- and diglycerides of fatty acids'],Palm oil; Non-vegan; Vegetarian status unknown
Pepsi black - 500ml,8902080001286.0,Unknown,Pepsi,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink, Punjabi",Nutri-Score C,Average nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.015%),"carbonated water, colour d, acidity regulators ,, sweeteners , , preservative , caffeine mgg, flavour natural flavouring substances, stabilizer",['e150d - sulphite ammonia caramel; e211 - sodium benzoate; e330 - citric acid; e338 - phosphoric acid; e436 - polyoxyethylene sorbitan tristearate; e950 - acesulfame k; e955 - sucralose'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
