Product Name,Barcode,Common Name,Packaging,Brands,Categories,Countries where sold,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Packaging Impact,Nutrient Levels,Ingredients,Additives,Ingredient Analysis,fat,saturated-fat,sugars,salt,Ingredient Classifications,Harmful Count,Moderate Count,Safe Count,Dietary Flags,Health Impact Score,Health Classification
redbull - red bull - 1,90162602.0,Energy Drink,"Can, Aluminium-can",Red Bull,"beverages, sodas, energy drinks, sweetened beverages, carbonated sodas","Australia, Egypt, France, India, Ireland, Morocco, Tunisia, United Kingdom, United States",4.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Sugars in high quantity (11%); Salt in moderate quantity (0.198%),"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12",E330 - Citric acid; E500 - Sodium carbonates; E500ii - Sodium hydrogen carbonate,Palm oil free; Vegan status unknown; Vegetarian status unknown,0.0,,0.12195121951219512,0.00010050761421319798,"{'safe': ['carbonated water', 'glucose', 'taurine', 'artificial flavors', 'sodium bicarbonate', 'magnesium carbonate', 'artificial colors', 'caffeine', 'niacinamide', 'pyridoxine hci', 'calcium pantothenate', 'vitamin b12'], 'moderate': ['sugar', 'citric acid', 'natural flavors'], 'harmful': []}",0,3,12,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",1.8837264363831456,Yellow
diet coke - the coca-cola company - 500 ml,54491496.0,Unknown,"Plastic, Bottle or vial, Bottle, Pet-bottle, Pet-cap","The Coca-Cola Company, Coca-Cola, Diet Coke, Tiffin Sandwiches","beverages, artificially sweetened beverages, sodas, diet beverages, unsweetened beverages, colas, diet sodas, diet cola soft drink, sweetened beverages","France, India, United Kingdom",5.0,Good nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0%),"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate to protect taste, natural flavors, citric acid, caffeine, contains phenylalaline water gazeifie, caramel colour e150d, sweeteners  aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid",E150c - Ammonia caramel; E150d - Sulphite ammonia caramel; E212 - Potassium benzoate; E330 - Citric acid; E338 - Phosphoric acid; E950 - Acesulfame k; E951 - Aspartame,Palm oil free; Vegan status unknown; Vegetarian status unknown,0.010247678018575852,0.09933333333333333,0.037694013303769404,0.000817258883248731,"{'safe': ['csd water', 'caramel color', 'phosphoric acid', 'potassium benzoate to protect taste', 'caffeine', 'contains phenylalaline water gazeifie', 'caramel colour e150d', 'flavourings', 'natural caffeine', 'phosphoric acid'], 'moderate': ['natural flavors', 'citric acid', 'citric acid'], 'harmful': ['aspartame', 'sweeteners  aspartame', 'acesulfame k']}",3,3,10,"{'gluten-free': [], 'vegan': [], 'low sugar': []}",2.1101907716461072,Green
lay's american style cream & onion flavour - 11g(8.6 +2.4 extra),8901491502030.0,Unknown,Unknown,Lay's,"plant-based foods and beverages, plant-based foods, snacks, cereals and potatoes, salty snacks, appetizers, chips and fries, crisps, potato crisps",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,4.0,,Fat in high quantity (33.1%); Saturated fat in high quantity (14.9%); Sugars in low quantity (3.4%); Salt in high quantity (1.61%),"Potato, Edible Vegetable Oil Palmolein, Sunflower Oil, Seasoning Sugar, iodised Salt, Milk Solids, Spices  Condiments, Maltodextrin, Flavour Natural and Nature Identical Flavouring Substances, Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers 627, 631, Edible Vegetable Oil Palm, Coconut, Anticaking Agent 551Contains Onion ALLERGEN ADVICE Contains Soy, Milk May Contain Sulphite As flavouring agent ,Contsins onion",E551 - Silicon dioxide; E627 - Disodium guanylate; E631 - Disodium inosinate,Palm oil; Non-vegan; Vegetarian,0.0,0.0,0.0,0.0467005076142132,"{'safe': ['potato', 'edible vegetable oil palmolein', 'sunflower oil', 'milk solids', 'spices  condiments', 'maltodextrin', 'flavour natural and nature identical flavouring substances', 'cheese powder', 'hydrolysed vegetable protein', 'flavour enhancers 627', '631', 'edible vegetable oil palm', 'coconut', 'anticaking agent 551contains onion allergen advice contains soy', 'milk may contain sulphite as flavouring agent ,contsins onion'], 'moderate': ['seasoning sugar', 'iodised salt'], 'harmful': []}",0,2,15,"{'gluten-free': ['maltodextrin'], 'vegan': ['milk solids', 'milk may contain sulphite as flavouring agent ,contsins onion'], 'low sugar': ['seasoning sugar']}",1.5953299492385786,Yellow
maaza original 600ml - 24,8901764092206.0,Unknown,Unknown,Maaza,"beverages and beverages preparations, beverages, sweetened beverages","France, India",4.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (14.9%); Salt in low quantity (0.0548%),"WATER, MANGO PULP 195, SUGAR, ACIDITY REGULATOR 330, ANTIOXIDANT300 AND PRESERVATIVE 202 CONTAINS PERMITTED SYNTHETIC FOOD COLOUR 110 AND ADDED MANGO FLAVOURS NATURAL, NATUREIDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES",E110 - Sunset yellow FCF; E202 - Potassium sorbate; E300 - Ascorbic acid; E330 - Citric acid,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.0,0.0,0.07538802660753881,5.228426395939086e-05,"{'safe': ['water', 'mango pulp 195', 'acidity regulator 330', 'antioxidant300 and preservative 202 contains permitted synthetic food colour 110 and added mango flavours natural', 'natureidentical and artificial flavouring substances'], 'moderate': ['sugar'], 'harmful': []}",0,1,5,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",1.8924559689128502,Yellow
thumbs up 750ml - coca cola company - 24,8901764042270.0,Unknown,Unknown,Coca Cola Company,"beverages, sodas, sweetened beverages","India, United States",5.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9%); Salt in low quantity (0%),"CARBONATED WATER, SUGAR, ACIDITY REGULATOR 338, CAFFEINE 83 mg100 g, COLOUR 1506 FLAVOURS NATURAL, NATUREIDENTICAL  ARTIFICIAL COLA FLAVOURING SUBSTANCES CONTAINS CAFFEINE",E100 - Curcumin; E338 - Phosphoric acid,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.0,0.0,0.0,7.614213197969543e-06,"{'safe': ['carbonated water', 'acidity regulator 338', 'caffeine 83 mg100 g', 'colour 1506 flavours natural', 'natureidentical  artificial cola flavouring substances contains caffeine'], 'moderate': ['sugar'], 'harmful': []}",0,1,5,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",2.1999992385786804,Green
parle-g gold 75g - 50 g,8901719125478.0,Unknown,Unknown,Parle,"snacks, sweet snacks, biscuits and cakes, biscuits, dry biscuits, plain biscuit, gluco biscuit",India,2.0,Bad nutritional quality,4.0,Ultra processed foods,3.0,,Fat in moderate quantity (13%); Saturated fat in high quantity (6%); Sugars in high quantity (25.5%); Salt in moderate quantity (0.74%),"REFINED WHEAT FLOUR MAIDA 68, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP SUGAR, CITRIC ACID, IODISED SALT, RAISING AGENTS 503 ii, 500 ii, MILK SOLIDS, FLOUR TREATMENT AGENT 1101 ii AND EMULSIFIER OF VEGETABLE ORIGIN 472e CONTAINS ADDED FLAVOUR ARTIFICIAL FLAVOURING SUBSTANCES VANILLA DGLUCOSE, LEVULOSE CONTAINS WHEAT, MILK",E1101 - Protease; E330 - Citric acid; E500 - Sodium carbonates; E503 - Ammonium carbonates,Palm oil; Non-vegan; Vegetarian,0.007213622291021672,0.068,0.6097560975609756,0.0002908629441624365,"{'safe': ['refined wheat flour maida 68', 'refined palm oil', 'raising agents 503 ii', '500 ii', 'milk solids', 'flour treatment agent 1101 ii and emulsifier of vegetable origin 472e contains added flavour artificial flavouring substances vanilla dglucose', 'levulose contains wheat', 'milk'], 'moderate': ['sugar', 'invert sugar syrup sugar', 'citric acid', 'iodised salt'], 'harmful': []}",0,4,8,"{'gluten-free': ['refined wheat flour maida 68', 'levulose contains wheat'], 'vegan': ['milk solids', 'milk'], 'low sugar': ['sugar', 'invert sugar syrup sugar']}",1.2314739417203842,Yellow
mixed fruit jam - kissan - 90g,8901030922787.0,Unknown,Unknown,Kissan,"plant-based foods and beverages, plant-based foods, breakfasts, spreads, plant-based spreads, sweet spreads, fruit and vegetable preserves, jams, mixed fruit jams",India,2.0,Poor nutritional quality,4.0,Ultra processed foods,4.0,,Fat in low quantity (0.1%); Saturated fat in low quantity (0%); Sugars in high quantity (68.1%); Salt in low quantity (0.128%),"SUGAR, MIXED FRUIT PULP BLEND60 PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP, PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE, ACIDITY REGULATORE330, THICKENERE440, IODISED SALT, VITAMINS  MINERAL, PRESERVATIVEE202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOURE122",E122 - Azorubine; E202 - Potassium sorbate; E330 - Citric acid; E440 - Pectins,Palm oil free; Vegan status unknown; Vegetarian,0.00628482972136223,0.06733333333333333,0.42461197339246115,6.040609137055837e-05,"{'safe': ['mixed fruit pulp blend60 papaya pulp', 'pear pulp', 'apple juice', 'banana pulp', 'pineapple juice', 'orange juice', 'mango pulp', 'grape juice', 'thickenere440', 'vitamins  mineral', 'preservativee202', 'natural flavouring substances', 'food coloure122'], 'moderate': ['sugar', 'acidity regulatore330', 'iodised salt'], 'harmful': []}",0,3,13,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",1.2501709457461474,Yellow
sprite - coca cola - 5,8901764032271.0,Unknown,Plastic,coca cola,"beverages, sodas, sweetened beverages, sprite",India,5.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9.8%); Salt in low quantity (0.035%),"CARBONATED WATER, SUGAR, ACIDITY REGULATORS 330, 331i, PRESERVATIVE211, SWEETENER 960, FLAVOURS NATURAL FLAVORING SUBSTANCES",E211 - Sodium benzoate; E330 - Citric acid; E331 - Sodium citrates; E960 - Steviol glycosides,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.00628482972136223,0.06733333333333333,0.4101995565410199,0.00015076142131979696,"{'safe': ['carbonated water', 'acidity regulators 330', '331i', 'preservative211', 'sweetener 960', 'flavours natural flavoring substances'], 'moderate': ['sugar'], 'harmful': []}",0,1,6,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",2.1516031518982968,Green
passendale classic - 190g (5*38g),5410942104158.0,Unknown,Plastic,"Passendale, Savencia","dairies, fermented foods, fermented milk products, cheeses, cow cheeses, belgian cheeses, abbaye cheeses","Belgium, France, India",3.0,Poor nutritional quality,4.0,Ultra processed foods,2.0,,Fat in high quantity (29%); Saturated fat in high quantity (20%); Sugars in low quantity (0%); Salt in moderate quantity (1.5%),"pasteurized cows milk, salt, lactic acid ferments, rennet, natural dye annatto",E160b - Annatto,Palm oil content unknown; Non-vegan; Vegetarian status unknown,0.0,0.0,0.11751662971175166,1.0812182741116751e-05,"{'safe': ['pasteurized cows milk', 'lactic acid ferments', 'rennet', 'natural dye annatto'], 'moderate': ['salt'], 'harmful': []}",0,1,4,"{'gluten-free': [], 'vegan': ['pasteurized cows milk'], 'low sugar': []}",1.5882472558105507,Yellow
tata salt - 1kg,8904043901015.0,table salt,"Plastic, Hdpe-high-density-polyethylene",Tata,"condiments, salts, table salts, groceries",India,2.0,Not-applicable for the category,2.0,Processed culinary ingredients,5.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in high quantity (92%),"Edible Common Salt, Potassium Jodate and Anticaking Agent INS 536",E536 - Potassium ferrocyanide,Palm oil content unknown; Vegan status unknown; Vegetarian,0.005294117647058824,0.021333333333333336,0.028824833702882482,0.006497461928934011,"{'safe': ['potassium jodate and anticaking agent ins 536'], 'moderate': ['edible common salt'], 'harmful': []}",0,1,1,"{'gluten-free': [], 'vegan': [], 'low sugar': []}",1.6938050253387793,Yellow
